id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
686,Mobile Phones,100,30,400,372,55,6
687,Telephone,450,23,7,374,34,8
688,Landline Phone,670,700,3,376,45,5
689,Radios,890,50,5,378,35,3
690,Wakie-Talkies,670,400,100,380,26,5
691,Routers,450,7,500,382,27,5
692,Modems,340,3,50,384,28,7
693,Gaming Coonsoles,750,5,30,386,49,3
694,Music Players,670,100,5,388,459,4
695,E-readers,340,500,50,390,678,7
696,Kindle,250,50,70,392,678,5
697,Projector,450,30,20,394,789,2
698,Refrigerator,760,5,30,396,697,6
699,WashingMachine,160,50,23,398,457,4
700,Dryers,2000,70,700,400,567,3
701,Ovens,450,20,50,402,466,8
702,Microwaves,125,30,50,404,55,3
703,Air Conditioner,500,23,400,406,367,5
704,Cameras,300,700,7,408,45,6
705,Drone,400,50,3,410,36,7
706,Virtual Reality Headsets,500,50,5,412,457,4
707,Fitness Trackers,600,400,100,414,33,8
708,Headphones ,700,7,500,416,4,3
709,Earpods,700,3,50,418,5,2
710,Blutooth Headphones,300,5,30,420,6,5
711,Speakers,500,100,5,422,7,3
712,Power Bank,500,500,50,424,67,7
713,External Hard Dirves,700,50,70,426,50,6
714,Printers,500,30,20,428,67,4
715,Scanners,600,5,30,430,46,4
716,Proector,800,50,23,432,235,6
717,Electronic toothbrushes,700,70,700,434,670,8
718,Pocket cameras,300,20,50,436,457,5
719,ATM,400,30,400,438,234,3
720,Sensors,500,23,7,440,560,5
721,Smartphones,400,700,3,442,230,5
722,Computer,200,50,5,444,43,7
723,Laptop,100,400,100,446,104,3
724,Wacom Tablet ,450,7,500,448,923,4
725,Bluetooth Speakers,670,3,50,450,345,7
726,Television,890,5,30,452,230,5
727,SmartWatches,670,100,5,454,456,2
728,Tablet,450,500,50,456,1,6
729,Video Players,340,50,70,458,23,4
730,Calculators ,750,30,20,460,234,3
731,Mobile Phones,670,5,30,462,45,8
732,Telephone,340,50,23,464,345,3
733,Landline Phone,250,70,700,466,567,5
734,Radios,450,20,50,468,409,6
735,Wakie-Talkies,760,30,50,470,679,7
736,Routers,160,23,400,472,567,4
737,Modems,2000,700,7,474,67,8
738,Gaming Coonsoles,450,50,3,476,34,3
739,Music Players,125,50,5,478,54,2
740,E-readers,500,400,100,480,566,5
741,Kindle,300,7,500,482,66,3
742,Projector,400,3,50,484,450,7
743,Refrigerator,500,5,30,486,345,6
744,WashingMachine,600,100,5,488,456,4
745,Dryers,700,500,50,490,564,4
746,Ovens,700,50,70,492,456,6
747,Microwaves,300,30,20,494,563,8
748,Air Conditioner,500,5,30,496,6,5
749,Cameras,500,50,23,498,12,3
750,Drone,700,70,23,500,67,5
751,Virtual Reality Headsets,500,20,700,502,34,5
752,Fitness Trackers,600,30,50,504,57,7
753,Headphones ,800,23,50,506,34,3
754,Earpods,700,700,400,508,120,4
755,Blutooth Headphones,300,50,7,510,330,7
756,Speakers,400,400,3,512,23,5
757,Power Bank,500,7,5,514,34,2
758,External Hard Dirves,400,3,100,516,56,6
759,Printers,200,5,500,518,78,4
760,Scanners,100,100,50,520,98,3
761,Proector,450,500,30,522,90,8
762,Electronic toothbrushes,670,50,5,524,10,3
763,Pocket cameras,890,30,50,526,34,5
764,ATM,670,5,70,528,20,6
765,Sensors,450,50,20,530,23,7
766,Smartphones,340,400,30,532,30,4
767,Computer,750,7,23,534,40,8
768,Laptop,670,3,700,536,50,3
769,Wacom Tablet ,340,5,50,538,55,2
770,Bluetooth Speakers,250,100,400,540,34,5
771,Television,450,500,7,542,45,3
772,SmartWatches,760,50,3,544,35,7
773,Tablet,160,30,5,546,26,6
774,Video Players,2000,5,100,548,27,4
775,Calculators ,450,50,500,550,28,4
776,Mobile Phones,125,70,50,552,49,6
777,Telephone,500,20,30,554,459,8
778,Landline Phone,300,30,5,556,678,5
779,Radios,400,23,50,558,678,3
780,Wakie-Talkies,500,700,70,560,789,5
781,Routers,600,50,20,562,697,5
782,Modems,700,400,30,564,457,7
783,Gaming Coonsoles,700,7,23,566,567,3
784,Music Players,300,3,700,568,466,4
785,E-readers,500,5,50,570,55,7
786,Kindle,500,100,50,572,367,5
787,Projector,700,500,400,574,45,2
788,Refrigerator,500,50,7,576,36,6
789,WashingMachine,600,30,3,578,457,4
790,Dryers,800,5,5,580,33,3
791,Ovens,700,50,100,582,4,8
792,Microwaves,300,70,500,584,5,3
793,Air Conditioner,400,20,50,586,6,5
794,Cameras,500,30,30,588,7,6
795,Drone,400,23,5,590,67,7
796,Virtual Reality Headsets,200,700,50,592,50,4
797,Fitness Trackers,100,50,70,594,67,8
798,Headphones ,450,50,20,596,46,3
799,Earpods,670,400,30,598,235,2
800,Blutooth Headphones,890,7,23,600,670,5
801,Speakers,670,3,700,602,457,3
802,Power Bank,450,5,50,604,234,7
803,External Hard Dirves,340,100,400,606,560,6
804,Printers,750,500,7,608,230,4
805,Scanners,670,50,3,610,43,4
806,Proector,340,30,5,612,104,6
807,Electronic toothbrushes,250,5,100,614,923,8
808,Pocket cameras,450,50,500,616,345,5
809,ATM,760,70,50,618,230,3
810,Sensors,160,20,30,620,456,5
811,Smartphones,2000,30,5,622,1,5
812,Computer,450,23,50,624,23,7
813,Laptop,125,700,70,626,234,3
814,Wacom Tablet ,500,50,20,628,45,4
815,Bluetooth Speakers,300,400,30,630,345,7
816,Television,400,7,23,632,567,5
817,SmartWatches,500,3,700,634,409,2
818,Tablet,600,5,50,636,679,6
819,Video Players,700,100,50,638,567,4
820,Calculators ,700,500,400,640,67,3
821,Mobile Phones,300,50,7,642,34,8
822,Telephone,500,30,3,644,54,3
823,Landline Phone,500,5,5,646,566,5
824,Radios,700,50,100,648,66,6
825,Wakie-Talkies,500,70,500,650,450,7
826,Routers,600,20,50,652,345,4
827,Modems,800,30,30,654,456,8
828,Gaming Coonsoles,700,23,5,656,564,3
829,Music Players,300,700,50,658,456,2
830,E-readers,400,50,70,660,563,5
831,Kindle,500,50,20,662,30,3
832,Projector,400,400,30,664,40,7
833,Refrigerator,200,7,23,666,50,6
834,WashingMachine,100,3,700,668,55,4
835,Dryers,450,5,50,670,34,4
836,Ovens,670,100,400,672,45,6
837,Microwaves,890,500,7,674,35,8
838,Air Conditioner,670,50,3,676,26,5
839,Cameras,450,30,5,678,27,3
840,Drone,340,5,100,680,28,5
841,Virtual Reality Headsets,750,50,500,682,49,5
842,Fitness Trackers,670,70,50,684,459,7
843,Headphones ,340,20,30,686,678,3
844,Earpods,250,30,5,688,678,4
845,Blutooth Headphones,450,23,50,690,789,7
846,Speakers,760,700,70,692,697,5
847,Power Bank,160,50,20,694,457,2
848,External Hard Dirves,2000,400,30,696,567,6
849,Printers,450,7,23,698,466,4
850,Scanners,125,3,700,700,55,3
851,Proector,500,5,50,702,367,8
852,Electronic toothbrushes,300,100,50,704,45,3
853,Pocket cameras,400,500,400,706,36,5
854,ATM,500,50,7,708,457,6
855,Sensors,600,30,3,710,33,7
856,Smartphones,700,5,5,712,4,4
857,Computer,700,50,100,714,5,8
858,Laptop,800,70,500,716,6,3
859,Wacom Tablet ,300,20,50,718,7,2
860,Bluetooth Speakers,500,30,30,720,67,5
861,Television,500,23,5,722,50,3
862,SmartWatches,700,700,50,724,67,7
863,Tablet,500,50,70,726,46,6
864,Video Players,600,50,20,728,235,4
865,Calculators ,800,400,30,730,670,4
866,Mobile Phones,700,7,23,732,457,6
867,Telephone,300,3,700,734,234,8
868,Landline Phone,400,5,50,736,560,5
869,Radios,500,100,400,738,230,3
870,Wakie-Talkies,400,500,7,740,43,5
871,Routers,200,50,3,742,104,5
872,Modems,100,30,5,744,923,7
873,Gaming Coonsoles,450,5,100,746,345,3
874,Music Players,670,50,500,748,230,4
875,E-readers,890,70,50,750,456,7
876,Kindle,670,20,30,752,1,5
877,Projector,450,30,5,754,23,2
878,Refrigerator,340,23,50,756,234,6
879,WashingMachine,750,700,70,758,45,4
880,Dryers,670,50,20,760,345,3
881,Ovens,340,400,30,762,567,8
882,Microwaves,250,7,23,764,409,3
883,Air Conditioner,450,3,700,766,679,5
884,Cameras,760,5,50,768,567,6
885,Drone,160,100,50,770,67,7
886,Virtual Reality Headsets,2000,500,400,772,34,4
887,Fitness Trackers,450,50,7,774,54,8
888,Headphones ,125,30,3,776,566,3
889,Earpods,500,5,5,778,66,2
890,Blutooth Headphones,300,50,100,780,450,5
891,Speakers,400,400,500,782,345,3
892,Power Bank,500,7,50,784,456,7
893,External Hard Dirves,600,3,30,786,564,6
894,Printers,700,5,5,788,456,4
895,Scanners,700,100,50,790,563,4
896,Proector,300,500,70,792,6,6
897,Electronic toothbrushes,500,50,20,794,12,8
898,Pocket cameras,500,30,30,796,67,5
899,ATM,700,5,23,798,34,3
900,Sensors,500,50,700,800,57,5
901,,600,70,50,802,34,5
902,,800,20,400,804,120,7
903,Smartphones,700,30,7,806,330,3
904,Computer,300,23,3,808,23,4
905,Laptop,400,700,5,810,34,7
906,Wacom Tablet ,500,50,100,812,56,5
907,Bluetooth Speakers,400,400,500,814,78,2
908,Television,200,7,50,816,98,6
909,SmartWatches,100,3,30,818,90,4
910,Tablet,450,5,5,820,10,3
911,Video Players,670,100,50,822,34,8
912,Calculators ,890,500,70,824,20,3
913,Mobile Phones,670,50,20,826,23,5
914,Telephone,450,30,30,828,30,6
915,Landline Phone,340,5,23,830,40,7
916,Radios,750,50,700,832,50,4
917,Wakie-Talkies,670,70,50,834,55,8
918,Routers,340,20,50,836,34,3
919,Modems,250,30,400,838,45,2
920,Gaming Coonsoles,450,23,7,840,35,5
921,Music Players,760,700,3,842,26,3
922,E-readers,160,50,5,844,27,7
923,Kindle,2000,50,100,846,28,6
924,Projector,450,400,500,848,49,4
925,Refrigerator,125,7,50,850,459,4
926,WashingMachine,500,3,30,852,678,6
927,Dryers,300,5,5,854,678,8
928,Ovens,400,100,50,856,789,5
929,Microwaves,500,500,70,858,697,3
930,Air Conditioner,600,50,20,860,457,5
931,Cameras,700,30,30,862,567,5
932,Drone,700,5,23,864,466,7
933,Virtual Reality Headsets,300,50,89,866,55,3
934,Fitness Trackers,500,70,45,868,367,4
935,Headphones ,500,20,35,870,45,7
936,Earpods,700,30,46,872,36,5
937,Blutooth Headphones,500,23,78,874,457,2
938,Speakers,600,700,56,876,33,6
939,Power Bank,800,50,345,878,4,4
940,External Hard Dirves,700,400,465,880,5,3
941,Printers,300,7,567,882,6,8
942,Scanners,400,3,765,884,7,3
943,Proector,500,5,879,886,67,5
944,Electronic toothbrushes,400,100,555,888,50,6
945,Pocket cameras,200,500,234,890,67,7
946,ATM,100,50,345,892,46,4
947,Sensors,450,30,333,894,235,8
948,Smartphones,670,5,234,896,670,3
949,Computer,890,50,254,898,457,2
950,Laptop,670,70,213,900,234,5
951,Wacom Tablet ,450,20,346,902,560,3
952,Bluetooth Speakers,340,30,764,904,230,7
953,Television,750,23,768,906,43,6
954,SmartWatches,670,700,423,908,104,4
955,Tablet,340,50,986,910,923,4
956,Video Players,250,50,999,912,345,6
957,Calculators ,450,400,123,914,230,8
958,Mobile Phones,760,7,45,916,456,5
959,Telephone,160,3,32,918,1,3
960,Landline Phone,2000,5,78,920,23,5
961,Radios,450,100,45,922,234,5
962,Wakie-Talkies,125,500,12,924,45,7
963,Routers,500,50,345,926,345,3
964,Modems,300,30,123,928,567,4
965,Gaming Coonsoles,400,5,100,930,409,7
966,Music Players,500,50,125,932,679,5
967,E-readers,600,70,135,934,567,2
968,Kindle,700,20,167,936,67,6
969,Projector,700,30,175,938,34,4
970,Refrigerator,300,23,197,940,54,3
971,WashingMachine,500,700,789,942,566,8
972,Dryers,500,50,987,944,66,3
973,Ovens,700,400,678,946,450,5
974,Microwaves,500,7,567,948,345,6
975,Air Conditioner,600,3,453,950,456,7
976,Cameras,800,5,34,952,564,4
977,Drone,700,100,56,954,456,8
978,Virtual Reality Headsets,300,500,76,956,563,3
979,Fitness Trackers,400,50,35,958,6,2
980,Headphones ,500,30,78,960,12,5
981,Earpods,400,5,570,962,67,3
982,Blutooth Headphones,200,50,98,964,34,7
983,Speakers,100,70,90,966,57,6
984,Power Bank,450,20,70,968,34,4
985,External Hard Dirves,670,30,679,970,120,4
986,Printers,890,23,3,972,330,6
987,Scanners,670,700,6,974,23,8
988,Proector,450,50,8,976,34,5
989,Electronic toothbrushes,340,50,5,978,56,3
990,Pocket cameras,750,400,9,980,78,5
991,ATM,670,7,3,982,98,5
992,Sensors,340,3,5,984,90,7
993,Smartphones,250,5,2,986,10,3
994,Computer,450,100,7,988,34,4
995,Laptop,760,500,90,990,20,7
996,Wacom Tablet ,160,50,120,992,23,5
997,Bluetooth Speakers,2000,30,345,994,30,2
998,Television,450,5,456,996,40,6
999,SmartWatches,125,50,678,998,50,4
1000,Tablet,500,70,347,1000,55,3
1001,Video Players,300,20,70,2,34,8
1002,Calculators ,400,30,72,4,45,3
1003,Mobile Phones,500,23,48,6,35,5
1004,Telephone,600,700,32,8,26,6
1005,Landline Phone,700,50,20,10,27,7
1006,Radios,700,50,34,12,28,5
1007,Wakie-Talkies,300,400,45,14,49,7
1008,Routers,500,7,10,16,459,3
1009,Modems,500,3,11,18,678,4
1010,Gaming Coonsoles,700,5,15,20,678,7
1011,Music Players,500,100,19,22,789,5
1012,E-readers,600,500,4,24,697,2
1013,Kindle,800,50,9,26,457,6
1014,Projector,700,30,6,28,567,4
1015,Refrigerator,300,5,38,30,466,3
1016,WashingMachine,400,50,33,32,55,8
1017,Dryers,500,70,55,34,367,3
1018,Ovens,400,20,78,36,45,5
1019,Microwaves,200,30,45,38,36,6
1020,Air Conditioner,100,23,26,40,457,7
1021,Cameras,450,700,98,42,33,4
1022,Drone,670,50,66,44,4,8
1023,Virtual Reality Headsets,890,400,77,46,5,3
1024,Fitness Trackers,670,7,88,48,6,2
1025,Headphones ,450,3,99,50,7,5
1026,Earpods,340,5,333,52,67,3
1027,Blutooth Headphones,750,100,45,54,50,7
1028,Speakers,670,500,345,56,67,6
1029,Power Bank,340,50,12,58,46,4
1030,External Hard Dirves,250,30,55,60,235,4
1031,Printers,450,5,36,62,670,6
1032,Scanners,760,50,67,64,457,8
1033,Proector,160,70,23,66,234,5
1034,Electronic toothbrushes,2000,20,700,68,560,3
1035,Pocket cameras,450,30,50,70,230,5
1036,ATM,125,23,50,72,43,5
1037,Sensors,500,700,400,74,104,7
1038,Smartphones,300,50,7,76,923,3
1039,Computer,400,50,3,78,345,4
1040,Laptop,500,400,5,80,230,7
1041,Wacom Tablet ,600,7,100,82,456,5
1042,Bluetooth Speakers,700,3,500,84,1,2
1043,Television,700,5,50,86,23,6
1044,SmartWatches,300,100,30,88,234,4
1045,Tablet,500,500,5,90,45,3
1046,Video Players,500,50,50,92,345,8
1047,Calculators ,700,30,70,94,567,3
1048,Mobile Phones,500,5,20,96,409,5
1049,Telephone,600,50,30,98,679,6
1050,Landline Phone,800,70,23,100,567,7
1051,Radios,700,20,700,102,67,4
1052,Wakie-Talkies,300,30,50,104,34,8
1053,Routers,400,23,400,106,54,3
1054,Modems,500,700,7,108,566,2
1055,Gaming Coonsoles,400,50,3,110,66,5
1056,Music Players,200,400,5,112,450,3
1057,E-readers,100,7,100,114,345,7
1058,Kindle,450,3,500,116,456,6
1059,Projector,670,5,50,118,564,4
1060,Refrigerator,890,100,30,120,456,4
1061,WashingMachine,670,500,5,122,563,6
1062,Dryers,450,50,50,124,30,8
1063,Ovens,340,30,70,126,40,5
1064,Microwaves,750,5,20,128,50,3
1065,Air Conditioner,670,50,30,130,55,5
1066,Cameras,340,70,23,132,34,5
1067,Drone,250,20,700,134,45,7
1068,Virtual Reality Headsets,450,30,50,136,35,3
1069,Fitness Trackers,760,23,50,138,26,4
1070,Headphones ,160,700,400,140,27,7
1071,Earpods,2000,50,7,142,28,5
1072,Blutooth Headphones,450,50,3,144,49,2
1073,Speakers,125,400,5,146,459,6
1074,Power Bank,500,7,100,148,678,4
1075,External Hard Dirves,300,3,500,150,678,3
1076,Printers,400,5,50,152,789,8
1077,Scanners,500,100,30,154,697,3
1078,Proector,600,500,5,156,457,5
1079,Electronic toothbrushes,700,50,50,158,567,6
1080,Pocket cameras,700,30,70,160,466,7
1081,ATM,800,5,20,162,55,4
1082,Sensors,300,50,30,164,367,8
1083,,500,70,23,166,45,3
1084,,500,20,700,168,36,2
1085,Smartphones,700,30,50,170,457,5
1086,Computer,500,23,400,172,33,3
1087,Laptop,600,700,7,174,4,7
1088,Wacom Tablet ,800,50,3,176,5,6
1089,Bluetooth Speakers,700,400,5,178,6,4
1090,Television,300,7,100,180,7,4
1091,SmartWatches,400,3,500,182,67,6
1092,Tablet,500,5,50,184,50,8
1093,Video Players,400,100,30,186,67,5
1094,Calculators ,200,500,5,188,46,3
1095,Mobile Phones,100,50,50,190,235,5
1096,Telephone,450,30,70,192,670,5
1097,Landline Phone,670,5,20,194,457,7
1098,Radios,890,50,30,196,234,3
1099,Wakie-Talkies,670,70,23,198,560,4
1100,Routers,450,20,700,200,230,7
1101,Modems,340,30,50,202,43,5
1102,Gaming Coonsoles,750,23,50,204,104,2
1103,Music Players,670,700,400,206,923,6
1104,E-readers,340,50,7,208,345,4
1105,Kindle,250,50,3,210,230,3
1106,Projector,450,400,5,212,456,8
1107,Refrigerator,760,7,100,214,1,3
1108,WashingMachine,160,3,500,216,23,5
1109,Dryers,2000,5,50,218,234,6
1110,Ovens,450,100,30,220,45,7
1111,Microwaves,125,500,5,222,345,4
1112,Air Conditioner,500,50,50,224,567,8
1113,Cameras,300,30,70,226,409,3
1114,Drone,400,5,20,228,679,2
1115,Virtual Reality Headsets,500,50,30,230,567,5
1116,Fitness Trackers,600,70,23,232,67,3
1117,Headphones ,700,20,700,234,34,7
1118,Earpods,700,30,50,236,54,6
1119,Blutooth Headphones,600,23,400,238,566,4
1120,Speakers,800,700,7,240,66,4
1121,Power Bank,600,50,3,242,450,6
1122,External Hard Dirves,300,400,5,244,345,8
1123,Printers,500,7,100,246,456,5
1124,Scanners,500,3,500,248,564,3
1125,Proector,700,5,50,250,456,5
1126,Electronic toothbrushes,500,100,30,252,563,5
1127,Pocket cameras,600,500,5,254,6,7
1128,ATM,800,50,50,256,12,3
1129,Sensors,700,30,70,258,67,4
1130,Smartphones,300,5,20,260,34,7
1131,Computer,400,50,30,262,57,5
1132,Laptop,500,70,23,264,34,2
1133,Wacom Tablet ,400,20,700,266,120,6
1134,Bluetooth Speakers,200,30,50,268,330,4
1135,Television,100,23,50,270,23,3
1136,SmartWatches,450,700,400,272,34,8
1137,Tablet,670,50,7,274,56,3
1138,Video Players,890,50,3,276,78,5
1139,Calculators ,670,400,5,278,98,6
1140,Mobile Phones,450,7,100,280,90,7
1141,Telephone,340,3,500,282,10,4
1142,Landline Phone,750,5,50,284,34,8
1143,Radios,670,100,30,286,20,3
1144,Wakie-Talkies,340,500,5,288,23,2
1145,Routers,250,50,50,290,30,5
1146,Modems,450,30,70,292,40,3
1147,Gaming Coonsoles,760,5,20,294,50,7
1148,Music Players,160,50,30,296,55,6
1149,E-readers,2000,70,23,298,34,4
1150,Kindle,450,20,700,300,45,4
1151,Projector,125,30,50,302,35,6
1152,Refrigerator,500,23,400,304,26,8
1153,WashingMachine,300,700,7,306,27,5
1154,Dryers,400,50,3,308,28,3
1155,Ovens,500,400,5,310,49,5
1156,Microwaves,600,7,100,312,459,5
1157,Air Conditioner,700,3,500,314,678,7
1158,Cameras,700,5,50,316,678,3
1159,Drone,300,100,30,318,789,4
1160,Virtual Reality Headsets,500,500,5,320,697,7
1161,Fitness Trackers,500,50,50,322,457,5
1162,Headphones ,700,30,70,324,567,2
1163,Earpods,500,5,20,326,466,6
1164,Blutooth Headphones,600,50,30,328,55,4
1165,Speakers,800,70,23,330,367,3
1166,Power Bank,700,20,700,332,45,8
1167,External Hard Dirves,300,30,50,334,36,3
1168,Printers,400,23,50,336,457,5
1169,Scanners,500,700,400,338,33,6
1170,Proector,400,50,7,340,4,7
1171,Electronic toothbrushes,200,50,3,342,5,4
1172,Pocket cameras,100,400,5,344,6,8
1173,ATM,450,7,100,346,7,3
1174,Sensors,670,3,500,348,67,2
1175,Smartphones,890,5,50,350,50,5
1176,Computer,670,100,30,352,67,3
1177,Laptop,450,500,5,354,46,7
1178,Wacom Tablet ,340,50,50,356,235,6
1179,Bluetooth Speakers,750,30,70,358,670,4
1180,Television,670,5,20,360,457,4
1181,SmartWatches,340,50,30,362,234,6
1182,Tablet,250,70,23,364,560,8
1183,Video Players,450,20,700,366,230,5
1184,Calculators ,760,30,50,368,43,3
1185,Mobile Phones,160,23,400,370,104,5
1186,Telephone,2000,700,7,372,923,5
1187,Landline Phone,450,50,3,374,345,7
1188,Radios,125,400,5,376,230,3
1189,Wakie-Talkies,500,7,100,378,456,4
1190,Routers,300,3,500,380,1,7
1191,Modems,400,5,50,382,23,5
1192,Gaming Coonsoles,500,100,30,384,234,2
1193,Music Players,600,500,5,386,45,6
1194,E-readers,700,50,50,388,345,4
1195,Kindle,700,30,70,390,567,3
1196,Projector,300,5,20,392,409,8
1197,Refrigerator,500,50,30,394,679,3
1198,WashingMachine,500,70,23,396,567,5
1199,Dryers,700,20,700,398,67,6
1200,Ovens,500,30,50,400,34,7
1201,Microwaves,600,23,50,402,54,4
1202,Air Conditioner,800,700,400,404,566,8
1203,Cameras,700,50,7,406,66,3
1204,Drone,300,50,3,408,450,2
1205,Virtual Reality Headsets,400,400,5,410,345,5
1206,Fitness Trackers,500,7,100,412,456,3
1207,Headphones ,400,3,500,414,564,7
1208,Earpods,200,5,50,416,456,6
1209,Blutooth Headphones,100,100,30,418,563,4
1210,Speakers,450,500,5,420,6,4
1211,Power Bank,670,50,50,422,12,6
1212,External Hard Dirves,890,30,70,424,67,8
1213,Printers,670,5,20,426,34,5
1214,Scanners,450,50,30,428,57,3
1215,Proector,340,70,23,430,34,5
1216,Electronic toothbrushes,750,20,23,432,120,5
1217,Pocket cameras,670,30,700,434,330,7
1218,ATM,340,23,50,436,23,3
1219,Sensors,250,700,50,438,34,4
1220,Smartphones,450,50,400,440,56,7
1221,Computer,760,400,7,442,78,5
1222,Laptop,160,7,3,444,98,2
1223,Wacom Tablet ,2000,3,5,446,90,6
1224,Bluetooth Speakers,450,5,100,448,10,4
1225,Television,125,100,500,450,34,3
1226,SmartWatches,500,500,50,452,20,8
1227,Tablet,300,50,30,454,23,3
1228,Video Players,400,30,5,456,30,5
1229,Calculators ,500,5,50,458,40,6
1230,Mobile Phones,600,50,70,460,50,7
1231,Telephone,700,70,20,462,55,4
1232,Landline Phone,700,20,30,464,34,8
1233,Radios,300,30,23,466,45,3
1234,Wakie-Talkies,500,23,700,468,35,2
1235,Routers,500,700,50,470,26,5
1236,Modems,700,50,400,472,27,3
1237,Gaming Coonsoles,500,50,7,474,28,7
1238,Music Players,600,400,3,476,49,6
